ID,URL,Title,Difficulty,Acceptance %,Frequency %,Frequency,Weight,PriorityScore,Completed
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.4%,75.0%,75.0,1,75.0,No
3453,https://leetcode.com/problems/separate-squares-i,Separate Squares I,Medium,58.0%,37.5%,37.5,2,75.0,No
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,48.6%,25.0%,25.0,3,75.0,No
2402,https://leetcode.com/problems/meeting-rooms-iii,Meeting Rooms III,Hard,51.7%,25.0%,25.0,3,75.0,No
115,https://leetcode.com/problems/distinct-subsequences,Distinct Subsequences,Hard,51.5%,25.0%,25.0,3,75.0,No
1970,https://leetcode.com/problems/last-day-where-you-can-still-cross,Last Day Where You Can Still Cross,Hard,68.6%,25.0%,25.0,3,75.0,No
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.1%,37.5%,37.5,2,75.0,No
2035,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,Partition Array Into Two Arrays to Minimize Sum Difference,Hard,23.0%,25.0%,25.0,3,75.0,No
249,https://leetcode.com/problems/group-shifted-strings,Group Shifted Strings,Medium,67.7%,37.5%,37.5,2,75.0,No
78,https://leetcode.com/problems/subsets,Subsets,Medium,82.0%,37.5%,37.5,2,75.0,No
79,https://leetcode.com/problems/word-search,Word Search,Medium,46.8%,37.5%,37.5,2,75.0,No
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.2%,62.5%,62.5,1,62.5,No
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.7%,62.5%,62.5,1,62.5,No
1929,https://leetcode.com/problems/concatenation-of-array,Concatenation of Array,Easy,90.5%,62.5%,62.5,1,62.5,No
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.2%,62.5%,62.5,1,62.5,No
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.4%,62.5%,62.5,1,62.5,No
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,66.1%,62.5%,62.5,1,62.5,No
371,https://leetcode.com/problems/sum-of-two-integers,Sum of Two Integers,Medium,55.0%,25.0%,25.0,2,50.0,No
328,https://leetcode.com/problems/odd-even-linked-list,Odd Even Linked List,Medium,62.3%,25.0%,25.0,2,50.0,No
3228,https://leetcode.com/problems/maximum-number-of-operations-to-move-ones-to-the-end,Maximum Number of Operations to Move Ones to the End,Medium,67.1%,25.0%,25.0,2,50.0,No
974,https://leetcode.com/problems/subarray-sums-divisible-by-k,Subarray Sums Divisible by K,Medium,56.0%,25.0%,25.0,2,50.0,No
1262,https://leetcode.com/problems/greatest-sum-divisible-by-three,Greatest Sum Divisible by Three,Medium,57.1%,25.0%,25.0,2,50.0,No
3234,https://leetcode.com/problems/count-the-number-of-substrings-with-dominant-ones,Count the Number of Substrings With Dominant Ones,Medium,42.1%,25.0%,25.0,2,50.0,No
930,https://leetcode.com/problems/binary-subarrays-with-sum,Binary Subarrays With Sum,Medium,68.2%,25.0%,25.0,2,50.0,No
229,https://leetcode.com/problems/majority-element-ii,Majority Element II,Medium,55.8%,25.0%,25.0,2,50.0,No
86,https://leetcode.com/problems/partition-list,Partition List,Medium,60.6%,25.0%,25.0,2,50.0,No
2013,https://leetcode.com/problems/detect-squares,Detect Squares,Medium,52.3%,25.0%,25.0,2,50.0,No
690,https://leetcode.com/problems/employee-importance,Employee Importance,Medium,69.3%,25.0%,25.0,2,50.0,No
175,https://leetcode.com/problems/combine-two-tables,Combine Two Tables,Easy,79.2%,50.0%,50.0,1,50.0,No
3756,https://leetcode.com/problems/concatenate-non-zero-digits-and-multiply-by-sum-ii,Concatenate Non-Zero Digits and Multiply by Sum II,Medium,24.0%,25.0%,25.0,2,50.0,No
334,https://leetcode.com/problems/increasing-triplet-subsequence,Increasing Triplet Subsequence,Medium,39.2%,25.0%,25.0,2,50.0,No
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,59.0%,25.0%,25.0,2,50.0,No
1102,https://leetcode.com/problems/path-with-maximum-minimum-value,Path With Maximum Minimum Value,Medium,54.6%,25.0%,25.0,2,50.0,No
2654,https://leetcode.com/problems/minimum-number-of-operations-to-make-all-array-elements-equal-to-1,Minimum Number of Operations to Make All Array Elements Equal to 1,Medium,54.6%,25.0%,25.0,2,50.0,No
309,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,Best Time to Buy and Sell Stock with Cooldown,Medium,61.7%,25.0%,25.0,2,50.0,No
550,https://leetcode.com/problems/game-play-analysis-iv,Game Play Analysis IV,Medium,40.7%,25.0%,25.0,2,50.0,No
2332,https://leetcode.com/problems/the-latest-time-to-catch-a-bus,The Latest Time to Catch a Bus,Medium,29.9%,25.0%,25.0,2,50.0,No
633,https://leetcode.com/problems/sum-of-square-numbers,Sum of Square Numbers,Medium,36.7%,25.0%,25.0,2,50.0,No
456,https://leetcode.com/problems/132-pattern,132 Pattern,Medium,34.5%,25.0%,25.0,2,50.0,No
1976,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination,Number of Ways to Arrive at Destination,Medium,37.3%,25.0%,25.0,2,50.0,No
811,https://leetcode.com/problems/subdomain-visit-count,Subdomain Visit Count,Medium,77.2%,25.0%,25.0,2,50.0,No
444,https://leetcode.com/problems/sequence-reconstruction,Sequence Reconstruction,Medium,30.5%,25.0%,25.0,2,50.0,No
184,https://leetcode.com/problems/department-highest-salary,Department Highest Salary,Medium,57.3%,25.0%,25.0,2,50.0,No
792,https://leetcode.com/problems/number-of-matching-subsequences,Number of Matching Subsequences,Medium,50.6%,25.0%,25.0,2,50.0,No
626,https://leetcode.com/problems/exchange-seats,Exchange Seats,Medium,73.8%,25.0%,25.0,2,50.0,No
450,https://leetcode.com/problems/delete-node-in-a-bst,Delete Node in a BST,Medium,54.2%,25.0%,25.0,2,50.0,No
177,https://leetcode.com/problems/nth-highest-salary,Nth Highest Salary,Medium,38.8%,25.0%,25.0,2,50.0,No
116,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,Populating Next Right Pointers in Each Node,Medium,66.8%,25.0%,25.0,2,50.0,No
678,https://leetcode.com/problems/valid-parenthesis-string,Valid Parenthesis String,Medium,39.8%,25.0%,25.0,2,50.0,No
271,https://leetcode.com/problems/encode-and-decode-strings,Encode and Decode Strings,Medium,51.2%,25.0%,25.0,2,50.0,No
498,https://leetcode.com/problems/diagonal-traverse,Diagonal Traverse,Medium,67.0%,25.0%,25.0,2,50.0,No
400,https://leetcode.com/problems/nth-digit,Nth Digit,Medium,37.1%,25.0%,25.0,2,50.0,No
523,https://leetcode.com/problems/continuous-subarray-sum,Continuous Subarray Sum,Medium,31.2%,25.0%,25.0,2,50.0,No
707,https://leetcode.com/problems/design-linked-list,Design Linked List,Medium,29.8%,25.0%,25.0,2,50.0,No
692,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,Medium,60.0%,25.0%,25.0,2,50.0,No
2749,https://leetcode.com/problems/minimum-operations-to-make-the-integer-zero,Minimum Operations to Make the Integer Zero,Medium,58.2%,25.0%,25.0,2,50.0,No
2327,https://leetcode.com/problems/number-of-people-aware-of-a-secret,Number of People Aware of a Secret,Medium,60.9%,25.0%,25.0,2,50.0,No
1934,https://leetcode.com/problems/confirmation-rate,Confirmation Rate,Medium,61.6%,25.0%,25.0,2,50.0,No
89,https://leetcode.com/problems/gray-code,Gray Code,Medium,64.0%,25.0%,25.0,2,50.0,No
3542,https://leetcode.com/problems/minimum-operations-to-convert-all-elements-to-zero,Minimum Operations to Convert All Elements to Zero,Medium,52.9%,25.0%,25.0,2,50.0,No
